benchmark,expansion,density,iterations,run_number,symbols,symbol_size,testcase,type,throughput,goodput,unit,
binary,1,0.200000,1,87,16,1600,FulcrumInner,decoder,1788.235294,1505.882353,Mbs,
binary,1,0.200000,1,88,16,1600,FulcrumInner,decoder,1976.470588,1505.882353,Mbs,
binary,1,0.200000,1,89,16,1600,FulcrumInner,decoder,2044.444444,1422.222222,Mbs,
binary,1,0.200000,1,90,16,1600,FulcrumInner,decoder,1900.000000,1600.000000,Mbs,
binary,1,0.200000,1,91,16,1600,FulcrumInner,decoder,1882.352941,1505.882353,Mbs,
binary,1,0.200000,1,92,16,1600,FulcrumInner,decoder,1955.555556,1422.222222,Mbs,
binary,1,0.200000,1,93,16,1600,FulcrumInner,decoder,1800.000000,1600.000000,Mbs,
binary,1,0.200000,1,94,16,1600,FulcrumInner,decoder,1920.000000,1706.666667,Mbs,
binary,1,0.200000,1,95,16,1600,FulcrumInner,decoder,1777.777778,1422.222222,Mbs,
binary,1,0.200000,1,96,16,1600,FulcrumInner,decoder,1125.925926,948.148148,Mbs,
binary,1,0.200000,1,97,16,1600,FulcrumInner,decoder,1920.000000,1280.000000,Mbs,
binary,1,0.200000,1,98,16,1600,FulcrumInner,decoder,1788.235294,1505.882353,Mbs,
binary,1,0.200000,1,99,16,1600,FulcrumInner,decoder,1800.000000,1600.000000,Mbs,
binary,1,0.200000,1,100,16,1600,FulcrumInner,decoder,1700.000000,1600.000000,Mbs,
binary,2,0.200000,1,1,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,2,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs,
binary,2,0.200000,1,3,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs,
binary,2,0.200000,1,4,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,5,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,6,16,1600,FulcrumInner,encoder,640.000000,640.000000,Mbs,
binary,2,0.200000,1,7,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,8,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,9,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
